ID,Name,Price in USD,Price in SGD
127/162,Noctowl [Colorless] [C - Common] (Reverse Holo),0.35,1.0
128/162,Dunsparce [Colorless] [C - Common] (Non-Foil),0.75,1.0
128/162,Dunsparce [Colorless] [C - Common] (Reverse Holo),0.69,1.0
129/162,Dudunsparce [Colorless] [R - Rare] (Foil),0.49,0.7
129/162,Dudunsparce [Colorless] [R - Rare] (Reverse Holo),0.79,1.1
130/162,Skitty [Colorless] [C - Common] (Non-Foil),0.25,0.5
130/162,Skitty [Colorless] [C - Common] (Reverse Holo),0.35,1.0
131/162,Delcatty [Colorless] [U - Uncommon] (Non-Foil),0.25,0.5
131/162,Delcatty [Colorless] [U - Uncommon] (Reverse Holo),0.35,1.0
132/162,Chatot [Colorless] [C - Common] (Non-Foil),0.25,0.5
132/162,Chatot [Colorless] [C - Common] (Reverse Holo),0.35,1.0
133/162,Pidove [Colorless] [C - Common] (Non-Foil),0.25,0.5
133/162,Pidove [Colorless] [C - Common] (Reverse Holo),0.35,1.0
134/162,Tranquill [Colorless] [C - Common] (Non-Foil),0.25,0.5
134/162,Tranquill [Colorless] [C - Common] (Reverse Holo),0.35,1.0
135/162,Unfezant [Colorless] [U - Uncommon] (Non-Foil),0.25,0.5
135/162,Unfezant [Colorless] [U - Uncommon] (Reverse Holo),0.35,1.0
136/162,Minccino [Colorless] [C - Common] (Non-Foil),0.25,0.5
136/162,Minccino [Colorless] [C - Common] (Reverse Holo),0.35,1.0
137/162,Cinccino [Colorless] [U - Uncommon] (Non-Foil),0.49,0.7
137/162,Cinccino [Colorless] [U - Uncommon] (Reverse Holo),0.49,1.0
138/162,Drampa [Colorless] [R - Rare] (Foil),0.35,0.5
138/162,Drampa [Colorless] [R - Rare] (Reverse Holo),0.39,1.0
139/162,Iron Jugulis [Colorless] [U - Uncommon] (Non-Foil),0.25,0.5
139/162,Iron Jugulis [Colorless] [U - Uncommon] (Reverse Holo),0.35,1.0
140/162,Ancient Booster Energy Capsule [Pokemon Tool] [U - Uncommon] (Non-Foil),0.25,0.5
140/162,Ancient Booster Energy Capsule [Pokemon Tool] [U - Uncommon] (Reverse Holo),0.49,1.0
141/162,Awakening Drum [Item] [AS - ACE SPEC] (Foil),1.79,2.4
142/162,Bianca's Devotion [Supporter] [U - Uncommon] (Non-Foil),0.25,0.5
142/162,Bianca's Devotion [Supporter] [U - Uncommon] (Reverse Holo),0.59,1.0
143/162,Boxed Order [Item] [U - Uncommon] (Non-Foil),0.35,0.5
143/162,Boxed Order [Item] [U - Uncommon] (Reverse Holo),0.39,1.0
144/162,Buddy-Buddy Poffin [Item] [U - Uncommon] (Non-Foil),2.99,4.1
144/162,Buddy-Buddy Poffin [Item] [U - Uncommon] (Reverse Holo),4.25,5.8
145/162,Ciphermaniac's Codebreaking [Supporter] [U - Uncommon] (Non-Foil),0.49,0.7
145/162,Ciphermaniac's Codebreaking [Supporter] [U - Uncommon] (Reverse Holo),0.99,1.3
146/162,Eri [Supporter] [U - Uncommon] (Non-Foil),0.49,0.7
146/162,Eri [Supporter] [U - Uncommon] (Reverse Holo),0.79,1.1
147/162,Explorer's Guidance [Supporter] [U - Uncommon] (Non-Foil),0.75,1.0
147/162,Explorer's Guidance [Supporter] [U - Uncommon] (Reverse Holo),0.99,1.3
148/162,Full Metal Lab [Stadium] [U - Uncommon] (Non-Foil),0.29,0.5
148/162,Full Metal Lab [Stadium] [U - Uncommon] (Reverse Holo),0.69,1.0
149/162,Future Booster Energy Capsule [Pokemon Tool] [U - Uncommon] (Non-Foil),0.25,0.5
149/162,Future Booster Energy Capsule [Pokemon Tool] [U - Uncommon] (Reverse Holo),0.35,1.0
150/162,Hand Trimmer [Item] [U - Uncommon] (Non-Foil),0.29,0.5
150/162,Hand Trimmer [Item] [U - Uncommon] (Reverse Holo),0.49,1.0
151/162,Heavy Baton [Pokemon Tool] [U - Uncommon] (Non-Foil),0.49,0.7
151/162,Heavy Baton [Pokemon Tool] [U - Uncommon] (Reverse Holo),0.79,1.1
152/162,Hero's Cape [Pokemon Tool] [AS - ACE SPEC] (Foil),9.99,13.6
153/162,Master Ball [Item] [AS - ACE SPEC] (Foil),2.49,3.4
154/162,Maximum Belt [Pokemon Tool] [AS - ACE SPEC] (Foil),6.99,9.5
155/162,Morty's Conviction [Supporter] [U - Uncommon] (Non-Foil),0.25,0.5
155/162,Morty's Conviction [Supporter] [U - Uncommon] (Reverse Holo),0.59,1.0
156/162,Perilous Jungle [Stadium] [U - Uncommon] (Non-Foil),0.25,0.5
156/162,Perilous Jungle [Stadium] [U - Uncommon] (Reverse Holo),0.59,1.0
157/162,Prime Catcher [Item] [AS - ACE SPEC] (Foil),29.99,40.7
158/162,Reboot Pod [Item] [AS - ACE SPEC] (Foil),1.79,2.4
159/162,Rescue Board [Pokemon Tool] [U - Uncommon] (Non-Foil),0.75,1.0
159/162,Rescue Board [Pokemon Tool] [U - Uncommon] (Reverse Holo),0.75,1.0
160/162,Salvatore [Supporter] [U - Uncommon] (Non-Foil),0.29,0.5
160/162,Salvatore [Supporter] [U - Uncommon] (Reverse Holo),0.35,1.0
161/162,Mist Energy [Special Energy] [U - Uncommon] (Non-Foil),0.49,0.7
161/162,Mist Energy [Special Energy] [U - Uncommon] (Reverse Holo),0.99,1.3
162/162,Neo Upper Energy [Special Energy] [AS - ACE SPEC] (Foil),3.99,5.4
163/162,Shiftry [Grass] [IR - Illustration Rare] (Foil),4.99,6.8
164/162,Grotle [Grass] [IR - Illustration Rare] (Foil),3.49,4.7
165/162,Deerling [Grass] [IR - Illustration Rare] (Foil),6.49,8.8
166/162,Sawsbuck [Grass] [IR - Illustration Rare] (Foil),8.99,12.2
167/162,Litten [Fire] [IR - Illustration Rare] (Foil),4.99,6.8
168/162,Snom [Water] [IR - Illustration Rare] (Foil),3.49,4.7
169/162,Charjabug [Lightning] [IR - Illustration Rare] (Foil),3.49,4.7
170/162,Bronzor [Psychic] [IR - Illustration Rare] (Foil),2.29,3.1
171/162,Reuniclus [Psychic] [IR - Illustration Rare] (Foil),4.99,6.8
172/162,Cutiefly [Psychic] [IR - Illustration Rare] (Foil),2.99,4.1
173/162,Relicanth [Fighting] [IR - Illustration Rare] (Foil),4.49,6.1
174/162,Excadrill [Fighting] [IR - Illustration Rare] (Foil),3.49,4.7
175/162,Mudsdale [Fighting] [IR - Illustration Rare] (Foil),2.99,4.1
176/162,Arbok [Darkness] [IR - Illustration Rare] (Foil),6.99,9.5
177/162,Ghastly [Darkness] [IR - Illustration Rare] (Foil),27.99,38.0
178/162,Metagross [Metal] [IR - Illustration Rare] (Foil),10.99,14.9
179/162,Meltan [Metal] [IR - Illustration Rare] (Foil),2.99,4.1
180/162,Lickitung [Colorless] [IR - Illustration Rare] (Foil),3.49,4.7
181/162,Chatot [Colorless] [IR - Illustration Rare] (Foil),2.49,3.4
182/162,Minccino [Colorless] [IR - Illustration Rare] (Foil),4.99,6.8
183/162,Cinccino [Colorless] [IR - Illustration Rare] (Foil),9.99,13.6
184/162,Drampa [Colorless] [IR - Illustration Rare] (Foil),5.99,8.1
185/162,Torterra ex [Grass] [UR - Ultra Rare] (Foil),3.49,4.7
186/162,Iron Leaves ex [Grass] [UR - Ultra Rare] (Foil),2.99,4.1
187/162,Incineroar ex [Fire] [UR - Ultra Rare] (Foil),1.99,2.7
188/162,Gouging Fire ex [Fire] [UR - Ultra Rare] (Foil),3.79,5.1
189/162,Walking Wake ex [Water] [UR - Ultra Rare] (Foil),2.99,4.1
190/162,Wugtrio ex [Lightning] [UR - Ultra Rare] (Foil),1.49,2.0
191/162,Iron Crown ex [Psychic] [UR - Ultra Rare] (Foil),4.49,6.1
192/162,Iron Boulder ex [Fighting] [UR - Ultra Rare] (Foil),1.79,2.4
193/162,Gengar ex [Darkness] [UR - Ultra Rare] (Foil),14.99,20.3
194/162,Farigiraf ex [Darkness] [UR - Ultra Rare] (Foil),1.79,2.4
195/162,Scizor ex [Metal] [UR - Ultra Rare] (Foil),2.99,4.1
196/162,Raging Bolt ex [Dragon] [UR - Ultra Rare] (Foil),10.99,14.9
197/162,Bianca's Devotion [Supporter] [UR - Ultra Rare] (Foil),3.99,5.4
198/162,Ciphermaniac's Codebreaking [Supporter] [UR - Ultra Rare] (Foil),6.99,9.5
199/162,Eri [Supporter] [UR - Ultra Rare] (Foil),7.49,10.2
200/162,Explorer's Guidance [Supporter] [UR - Ultra Rare] (Foil),5.49,7.4
201/162,Morty's Conviction [Supporter] [UR - Ultra Rare] (Foil),3.49,4.7
202/162,Salvatore [Supporter] [UR - Ultra Rare] (Foil),2.99,4.1
203/162,Iron Leaves ex [Grass] [SIR - Special Illustration Rare] (Foil),44.99,61.0
204/162,Gouging Fire ex [Fire] [SIR - Special Illustration Rare] (Foil),41.99,57.0
205/162,Walking Wake ex [Water] [SIR - Special Illustration Rare] (Foil),47.99,65.1
206/162,Iron Crown ex [Psychic] [SIR - Special Illustration Rare] (Foil),81.99,111.2
207/162,Iron Boulder ex [Fighting] [SIR - Special Illustration Rare] (Foil),24.99,33.9
208/162,Raging Bolt ex [Dragon] [SIR - Special Illustration Rare] (Foil),89.99,122.1
209/162,Bianca's Devotion [Supporter] [SIR - Special Illustration Rare] (Foil),31.99,43.4
210/162,Eri [Supporter] [SIR - Special Illustration Rare] (Foil),31.99,43.4
211/162,Morty's Conviction [Supporter] [SIR - Special Illustration Rare] (Foil),49.99,67.8
212/162,Salvatore [Supporter] [SIR - Special Illustration Rare] (Foil),15.99,21.7
213/162,Iron Leaves ex [Grass] [HR - Hyper Rare] (Foil),12.99,17.6
214/162,Gouging Fire ex [Fire] [HR - Hyper Rare] (Foil),14.99,20.3
