ID,Name,Price in USD,Price in SGD
147/167,Cook [Supporter] [U - Uncommon] (Non-Foil),0.25,0.5
147/167,Cook [Supporter] [U - Uncommon] (Reverse Holo),0.49,1.0
148/167,Enhanced Hammer [Item] [U - Uncommon] (Non-Foil),0.29,0.5
148/167,Enhanced Hammer [Item] [U - Uncommon] (Reverse Holo),0.35,1.0
149/167,Festival Grounds [Stadium] [U - Uncommon] (Non-Foil),0.49,0.7
149/167,Festival Grounds [Stadium] [U - Uncommon] (Reverse Holo),0.59,1.0
150/167,Handheld Fan [Pokemon Tool] [U - Uncommon] (Non-Foil),0.49,0.7
150/167,Handheld Fan [Pokemon Tool] [U - Uncommon] (Reverse Holo),0.49,1.0
151/167,Hassel [Supporter] [U - Uncommon] (Non-Foil),0.25,0.5
151/167,Hassel [Supporter] [U - Uncommon] (Reverse Holo),0.75,1.0
152/167,Hyper Aroma [Item] [AS - ACE SPEC] (Foil),3.49,4.7
153/167,Jamming Tower [Stadium] [U - Uncommon] (Non-Foil),0.49,0.7
153/167,Jamming Tower [Stadium] [U - Uncommon] (Reverse Holo),0.89,1.2
154/167,Kieran [Supporter] [U - Uncommon] (Non-Foil),0.25,0.5
154/167,Kieran [Supporter] [U - Uncommon] (Reverse Holo),0.75,1.0
155/167,Lana's Aid [Supporter] [U - Uncommon] (Non-Foil),0.49,0.7
155/167,Lana's Aid [Supporter] [U - Uncommon] (Reverse Holo),0.75,1.0
156/167,Love Ball [Item] [U - Uncommon] (Non-Foil),0.49,0.7
156/167,Love Ball [Item] [U - Uncommon] (Reverse Holo),0.75,1.0
157/167,Lucian [Supporter] [U - Uncommon] (Non-Foil),0.25,0.5
157/167,Lucian [Supporter] [U - Uncommon] (Reverse Holo),0.39,1.0
158/167,Lucky Helmet [Pokemon Tool] [U - Uncommon] (Non-Foil),0.25,0.5
158/167,Lucky Helmet [Pokemon Tool] [U - Uncommon] (Reverse Holo),0.69,1.0
159/167,Ogre's Mask [Item] [U - Uncommon] (Non-Foil),0.49,0.7
159/167,Ogre's Mask [Item] [U - Uncommon] (Reverse Holo),0.75,1.0
160/167,Perrin [Supporter] [U - Uncommon] (Non-Foil),0.49,0.7
160/167,Perrin [Supporter] [U - Uncommon] (Reverse Holo),0.75,1.0
161/167,Raifort [Supporter] [U - Uncommon] (Non-Foil),0.25,0.5
161/167,Raifort [Supporter] [U - Uncommon] (Reverse Holo),0.49,1.0
162/167,Scoop Up Cyclone [Item] [AS - ACE SPEC] (Foil),1.99,2.7
163/167,Secret Box [Item] [AS - ACE SPEC] (Foil),2.99,4.0
164/167,Survival Brace [Pokemon Tool] [AS - ACE SPEC] (Foil),1.49,2.0
165/167,Unfair Stamp [Item] [AS - ACE SPEC] (Foil),11.99,16.2
166/167,Boomerang Energy [Special Energy] [U - Uncommon] (Non-Foil),0.25,0.5
166/167,Boomerang Energy [Special Energy] [U - Uncommon] (Reverse Holo),0.25,1.0
167/167,Legacy Energy [Special Energy] [AS - ACE SPEC] (Foil),3.99,5.4
168/167,Pinsir [Grass] [IR - Illustration Rare] (Foil),4.79,6.5
169/167,Sunflora [Grass] [IR - Illustration Rare] (Foil),3.99,5.4
170/167,Dipplin [Grass] [IR - Illustration Rare] (Foil),6.49,8.8
171/167,Poltchageist [Grass] [IR - Illustration Rare] (Foil),3.99,5.4
172/167,Torkoal [Fire] [IR - Illustration Rare] (Foil),2.99,4.0
173/167,Infernape [Fire] [IR - Illustration Rare] (Foil),7.99,10.8
174/167,Froslass [Water] [IR - Illustration Rare] (Foil),6.49,8.8
175/167,Phione [Water] [IR - Illustration Rare] (Foil),4.49,6.1
176/167,Cramorant [Water] [IR - Illustration Rare] (Foil),2.49,3.4
177/167,Heliolisk [Lightning] [IR - Illustration Rare] (Foil),2.99,4.0
178/167,Wattrel [Lightning] [IR - Illustration Rare] (Foil),3.99,5.4
179/167,Chimecho [Psychic] [IR - Illustration Rare] (Foil),2.99,4.0
180/167,Enamorus [Psychic] [IR - Illustration Rare] (Foil),3.99,5.4
181/167,Hisuian Growlithe [Fighting] [IR - Illustration Rare] (Foil),11.99,16.2
182/167,Probopass [Fighting] [IR - Illustration Rare] (Foil),2.49,3.4
183/167,Timburr [Fighting] [IR - Illustration Rare] (Foil),2.99,4.0
184/167,Lairon [Metal] [IR - Illustration Rare] (Foil),3.49,4.7
185/167,Applin [Dragon] [IR - Illustration Rare] (Foil),4.99,6.7
186/167,Tatsugiri [Dragon] [IR - Illustration Rare] (Foil),13.99,18.9
187/167,Chansey [Colorless] [IR - Illustration Rare] (Foil),14.99,20.2
188/167,Eevee [Colorless] [IR - Illustration Rare] (Foil),47.99,64.8
189/167,Sinistcha ex [Grass] [UR - Ultra Rare] (Foil),2.29,3.1
190/167,Teal Mask Ogerpon ex [Grass] [UR - Ultra Rare] (Foil),18.99,25.6
191/167,Magcargo ex [Fire] [UR - Ultra Rare] (Foil),2.49,3.4
